PropertyHintId,CountryIds,FeatureNames,DisplayType,PropertyName,DependentPropertyName,DependentPropertyValueRegex,DisplayName,DisplayDescription,IsHidden,IsDisabled,IsHighlighted,IsDefault,IsBack,InputScope,MaskInput,ShowDisplayName,DisplayFormat,DisplayExample,MinLength,MaxLength,DisplayContent,DisplayContentDescription,DisplayHelpSequenceId,DisplayHelpSequenceText,ClientAction,Context,DestinationId,PossibleValues,DisplaySelectionText,SourceUrl,DisplayLogo,SelectType,MaskDisplay,DisplayConditionFunctionName,DataCollectionSource,DataCollectionFilterFunctionName,IsSelectFirstItem,DisplayImage,DisplayHelpPosition,StyleHints
paypalLogo,,,logo,,,,,,,,,,,,,,,,,,,,,,,,,,,/staticresourceservice/images/v4/logo_paypal.svg,,,,,,,,,,
attLogo,,,logo,,,,,,,,,,,,,,,,,,,,,,,,,,,/staticresourceservice/images/v3/logo_att_us.png,,,,,,,,,,
sptLogo,,,logo,,,,,,,,,,,,,,,,,,,,,,,,,,,/staticresourceservice/images/v3/logo_spt_us.png,,,,,,,,,,
cardholderName,,,property,accountHolderName,,,Cardholder name,Name on card,,,,,,,,TRUE,,,,64,,,,,,,,,,,,,,,,,,,,
cardNumber,,,property,accountToken,,,Card number,- Enter without dashes or spaces -,,,,,,,,TRUE,,,13,19,,,,,,,,,,,,,,,,,,,,
cardNumberAmex,,,property,accountToken,,,Card number,- Enter without dashes or spaces -,,,,,,,,TRUE,,,15,17,,,,,,,,,,,,,,,,,,,,
cardNumberCup,,,property,accountToken,,,Card number,- Enter without dashes or spaces -,,,,,,,,TRUE,,,13,19,,,,,,,,,,,,,,,,,,,,
lastFourDigits,,,property,lastFourDigits,,,Card number,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
expiryMonth,,,property,expiryMonth,,,Expiration month,Expiration month,,,,,,,,FALSE,,,2,2,,,,,,,,{}Months,MM,,,,,,,,,,,
expiryYear,,,property,expiryYear,,,Expiration year,Expiration year,,,,,,,,FALSE,,,2,2,,,,,,,,{}YearsExpiry,YY,,,,,,,,,,,
cvv,,,property,cvvToken,,,CVV,CVV,,,,,,,,TRUE,,,3,4,,,cvvHelpSequence,,,,,,,,,,,,,,,/staticresourceservice/images/v4/cardHints_generic.png,,
cvvCup,,,property,cvvToken,,,CV/N2,CV/N2,,,,,,,,TRUE,,,3,3,,,cvvCupHelpSequence,,,,,,,,,,,,,,,/staticresourceservice/images/v4/cardHints_generic.png,,
creditCardsCVV3Text,,,subheading,,,,,,,,,,,,,,,,,,"VISA, MasterCard:",,,,,,,,,,,,,,,,,,,
creditCardsCVV3Text,{}DiscoverSupportedMarkets,,subheading,,,,,,,,,,,,,,,,,,"VISA, MasterCard, Discover:",,,,,,,,,,,,,,,,,,,
creditCardsCVV3Text,{}JCBSupportedMarkets,,subheading,,,,,,,,,,,,,,,,,,"VISA, MasterCard, JCB:",,,,,,,,,,,,,,,,,,,
creditCardsCVV3Text,cn,,subheading,,,,,,,,,,,,,,,,,,CUP credit card:,,,,,,,,,,,,,,,,,,,
creditCardsCVV3LocationText,,,text,,,,,,,,,,,,,,,,,,The last 3 digits on the back.,,,,,,,,,,,,,,,,,,,
creditCardsCVV3Image,,,image,,,,,,,,,,,,,,,,,,,,,,,,,,,/staticresourceservice/images/v4/cardHints_CVV_Back.png,,,,,,,,,,
creditCardsCVV4Text,,,subheading,,,,,,,,,,,,,,,,,,American Express:,,,,,,,,,,,,,,,,,,,
creditCardsCVV4LocationText,,,text,,,,,,,,,,,,,,,,,,The 4-digit code on the front.,,,,,,,,,,,,,,,,,,,
creditCardsCVV4Image,,,image,,,,,,,,,,,,,,,,,,,,,,,,,,,/staticresourceservice/images/v4/cardHints_CVV_Front.png,,,,,,,,,,
addCupCreditCardHeading,,,heading,,,,,,,,,,,,,,,,,,Add a China UnionPay credit card,,,,,,,,,,,,,,,,,,,
updateCupCreditCardHeading,,,heading,,,,,,,,,,,,,,,,,,Update a China UnionPay credit card,,,,,,,,,,,,,,,,,,,
addCupDebitCardHeading,,,heading,,,,,,,,,,,,,,,,,,Add a China UnionPay debit card,,,,,,,,,,,,,,,,,,,
updateCupDebitCardHeading,,,heading,,,,,,,,,,,,,,,,,,Update a China UnionPay debit card,,,,,,,,,,,,,,,,,,,
creditCardSummaryPageHeading,,,heading,,,,,,,,,,,,,,,,,,Check your info,,,,,,,,,,,,,,,,,,,
creditCardSummaryLine1,,,expression,,,,,,,,,,,,,,,,,,({accountHolderName}),,,,,,,,,,,,,,,,,,,
creditCardSummaryLine2,,,expression,,,,,,,,,,,,,,,,,,({accountToken} )({expiryMonth}/)({expiryYear}),,,,,,,,,,,,,,,,,,,
creditCardSummaryLine3,,,expression,,,,,,,,,,,,,,,,,,({address_line1}),,,,,,,,,,,,,,,,,,,
creditCardSummaryLine4,,,expression,,,,,,,,,,,,,,,,,,"({address_line2}, )({city} )({region})( - {postal_code})",,,,,,,,,,,,,,,,,,,
creditCardCupSummaryLine2,,,expression,,,,,,,,,,,,,,,,,,China UnionPay ({accountToken}),,,,,,,,,,,,,,,,,,,
creditCardCupUpdateSummaryLine2,,,expression,,,,,,,,,,,,,,,,,,China UnionPay ({lastFourDigits}),,,,,,,,,,,,,,,,,,,
creditCardCupSummaryLine3,,,expression,,,,,,,,,,,,,,,,,,({phone}),,,,,,,,,,,,,,,,,,,
paymentSummaryText,,,text,,,,,,,,,,,,,,,,,,You can use this payment option to buy Microsoft products and services anywhere you sign in with ()EmailAddress.,,,,,,,,,,,,,,,,,,,
paymentChangeLink,,,hyperlink,,,,,,,,,,,,,,,,,,Change,,,,movePrevious,,,,,,,,,,,,,,,
paymentChangeSettingsStaticText,,,text,,,,,,,,,,,,,,,,,,"To change your settings, go to ",,,,,,,,,,,,,,,,,,,
paymentAccountsLink,,,hyperlink,,,,,,,,,,,,,,,,,,account.microsoft.com,,,,navigate,https://account.microsoft.com,,,,https://account.microsoft.com,,,,,,,,,,
