PIDLResourceType,PidlResourceIdentity,Operation,CountryIds,Scenario,DisplaySequenceId,DisplayStringSequenceId
address,px_v3_billing,add,{}A1A2CtStPcCo,suggestAddressesProfile,xboxProfileSuggestion,profileAddressStrings
address,px_v3_billing,add,{}A1A2PcStCtCo,profile,xboxProfileAddress,profileAddressStrings
address,px_v3_billing,add,{}A1A2PcStCtCo,suggestAddressesProfile,xboxProfileSuggestion,profileAddressStrings
address,px_v3_billing,add,{}A1A2A3CtStPcCo,profile,xboxProfileAddressA1A2A3CtStPcCo,profileAddressStrings
address,px_v3_billing,add,{}A1A2CtCnPcCo,profile,xboxProfileAddressA1A2CtCnPcCo,profileAddressStrings
address,px_v3_billing,add,{}A1A2CtCo,profile,xboxProfileAddressA1A2CtCo,profileAddressStrings
address,px_v3_billing,add,{}A1A2CtDtPcCo,profile,xboxProfileAddressA1A2CtDtPcCo,profileAddressStrings
address,px_v3_billing,add,{}A1A2CtPcCo,profile,xboxProfileAddressA1A2CtPcCo,profileAddressStrings
address,px_v3_billing,add,{}A1A2CtPcStCo,profile,xboxProfileAddressA1A2CtPcStCo,profileAddressStrings
address,px_v3_billing,add,{}A1A2CtPvPcCo,profile,xboxProfileAddressA1A2CtPvPcCo,profileAddressStrings
address,px_v3_billing,add,{}A1A2CtPvPcCo,suggestAddressesProfile,xboxProfileSuggestion,profileAddressStrings
address,px_v3_billing,add,{}A1A2PcPvCtCo,profile,xboxProfileAddressA1A2PcPvCtCo,profileAddressStrings
address,px_v3_billing,add,{}A1A2PcPvCtCo,suggestAddressesProfile,xboxProfileSuggestion,profileAddressStrings
address,px_v3_billing,add,{}A1A2DtCtStPcCo,profile,xboxProfileAddressA1A2DtCtStPcCo,profileAddressStrings
address,px_v3_billing,add,{}A1A2PcCtCo,profile,xboxProfileAddressA1A2PcCtCo,profileAddressStrings
address,px_v3_billing,add,{}A1CtPcCo,profile,xboxProfileAddressA1CtPcCo,profileAddressStrings
address,px_v3_billing,add,{}A1CtPcStCo,profile,xboxProfileAddressA1CtPcStCo,profileAddressStrings
address,px_v3_billing,add,{}CoCtA1A2,profile,xboxProfileAddressCoCtA1A2,profileAddressStrings
address,px_v3_billing,add,{}CoPcStCtA1A2,profile,xboxProfileAddressCoPcStCtA1A2,profileAddressStrings
address,px_v3_billing,add,{}CoPvCtDtA1A2Pc,profile,xboxProfileAddressCoPvCtDtA1A2Pc,profileAddressStrings
address,px_v3_billing,add,{}PcStCtA1A2Co,profile,xboxProfileAddressPcStCtA1A2Co,profileAddressStrings
address,px_v3_billing,validateInstance,{}A1A2CtStPcCo,suggestAddresses,xboxBillingSuggestionAddPi,profileAddressStrings
address,px_v3_billing,validateInstance,{}A1A2PcStCtCo,suggestAddresses,xboxBillingSuggestionAddPi,profileAddressStrings
address,px_v3_billing,validateInstance,{}A1A2CtPvPcCo,suggestAddresses,xboxBillingSuggestionAddPi,profileAddressStrings
address,px_v3_billing,validateInstance,{}A1A2PcPvCtCo,suggestAddresses,xboxBillingSuggestionAddPi,profileAddressStrings
