Url,Resource Name,Identity,Country,Language,Partner,Operation,Scenario,Filter,AllowedPaymentMethods,DeltaType/Description,Path,In SelfHost,In SelfHost,SelfHost Response,SelfHost Response,PI State,PI Scenario,Data,Triage
users/me/paymentMethodDescriptions?country=us&family=credit_card&type=amex&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.amex,us,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""d8b2079b-7aa7-4bdb-84be-8ccba37ecd7f"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=us&family=credit_card&type=amex&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.amex,us,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""a548cc91-cc51-460a-84f5-a4b3a4d82d25"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=us&family=credit_card&type=mc&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.mc,us,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""b5655fce-33f7-4512-aa5c-5e876c324557"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=us&family=credit_card&type=mc&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.mc,us,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""9897c6a5-4623-4230-8eec-ba2e8d2bc23b"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=us&family=credit_card&type=discover&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.discover,us,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""f269fff1-de49-499c-8491-7ebabab8b106"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=us&family=credit_card&type=discover&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.discover,us,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""70c4ef12-b28f-448b-a737-3f1855352003"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=id&family=credit_card&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card,id,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""54eded75-048d-4070-b330-7d0db6561820"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=id&family=credit_card&type=visa&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.visa,id,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""751306a9-45fc-4e1c-b45c-ab5d1fea1df0"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=id&family=credit_card&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card,id,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""02bbf363-aca8-4542-86b1-d6ad13278f93"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=id&family=credit_card&type=visa&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.visa,id,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""cca41ae1-e5af-4504-80fe-2b81b81289c5"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
