ResourceAction,PaymentMethodFamily,PaymentMethodType,Country,ContainedIn_Partner,Partner,Message,ErrorCode,DetailsErrorCode,DetailsMessage,DetailsTarget,ClientAction
,,,,,,,,,,CreditCardErrorTargets.PostalCode,
,,,,,,CreditCardErrorMessages.Generic,,,,,
,direct_debit,PaymentMethodType.Ach,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidBankCode,,DirectDebitErrorMessages.InvalidBankCodeAch,DirectDebitErrorTargets.BankCode,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidPaymentInstrumentInfo,,DirectDebitErrorMessages.InvalidPaymentInstrumentInfoAch,DirectDebitErrorTargets.AccountNumber,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidAccountHolder,,DirectDebitErrorMessages.InvalidAccountHolder,DirectDebitErrorTargets.AccountHolderName,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidCity,,DirectDebitErrorMessages.InvalidCity,DirectDebitErrorTargets.City,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidState,,DirectDebitErrorMessages.InvalidState,DirectDebitErrorTargets.State,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidZipCode,,DirectDebitErrorMessages.InvalidZipCode,DirectDebitErrorTargets.PostalCode,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidAddress,,DirectDebitErrorMessages.InvalidAddress,DirectDebitErrorTargets.AddressLine1,
,,,,,,,,,,DirectDebitErrorTargets.AddressLine2,
,,,,,,,,,,DirectDebitErrorTargets.City,
,,,,,,,,,,DirectDebitErrorTargets.State,
,,,,,,,,,,DirectDebitErrorTargets.PostalCode,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.ValidationFailed,,DirectDebitErrorMessages.ValidationFailedAch,DirectDebitErrorTargets.BankCode,
,,,,,,,,,,DirectDebitErrorTargets.AccountNumber,
,,,,,,DirectDebitErrorMessages.Generic,,,,,
,direct_debit,PaymentMethodType.Sepa,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidBankCode,,DirectDebitErrorMessages.InvalidBankCodeSepa,DirectDebitErrorTargets.BankCode,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidPaymentInstrumentInfo,,DirectDebitErrorMessages.InvalidPaymentInstrumentInfoSepa,DirectDebitErrorTargets.AccountNumber,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidAccountHolder,,DirectDebitErrorMessages.InvalidAccountHolder,DirectDebitErrorTargets.AccountHolderName,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidCity,,DirectDebitErrorMessages.InvalidCity,DirectDebitErrorTargets.City,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidState,,DirectDebitErrorMessages.InvalidState,DirectDebitErrorTargets.State,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidZipCode,,DirectDebitErrorMessages.InvalidZipCode,DirectDebitErrorTargets.PostalCode,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidAddress,,DirectDebitErrorMessages.InvalidAddress,DirectDebitErrorTargets.AddressLine1,
,,,,,,,,,,DirectDebitErrorTargets.AddressLine2,
,,,,,,,,,,DirectDebitErrorTargets.City,
,,,,,,,,,,DirectDebitErrorTargets.State,
,,,,,,,,,,DirectDebitErrorTargets.PostalCode,
,,,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.ValidationFailed,,DirectDebitErrorMessages.ValidationFailedSepa,DirectDebitErrorTargets.BankCode,
,,,,,,,,,,DirectDebitErrorTargets.AccountNumber,
,,,,,,DirectDebitErrorMessages.Generic,,,,,
,ewallet,PaymentMethodType.AlipayBillingAgreement,,,,ClientActionContract.NoMessage,AlipayErrorCodes.InvalidAlipayAccount,,AlipayErrorMessages.InvalidAlipayAccount,AlipayErrorTargets.Account,
,,,,,,ClientActionContract.NoMessage,AlipayErrorCodes.UserMobileNotMatch,,AlipayErrorMessages.UserMobileNotMatch,AlipayErrorTargets.PhoneNumber,
,,,,,,ClientActionContract.NoMessage,AlipayErrorCodes.UserCertNoMatch,,AlipayErrorMessages.UserCertNoMatch,AlipayErrorTargets.LastFiveCertNo,
,,,,,,AlipayErrorMessages.Generic,AlipayErrorCodes.InvalidAlipayAccount,,,,
,,,,,,,AlipayErrorCodes.UserMobileNotMatch,,,,
,,,,,,,AlipayErrorCodes.UserCertNoMatch,,,,
,mobile_billing_non_sim,,,,,ClientActionContract.NoMessage,NonSimErrorCodes.MOAccountNotFound,,NonSimErrorMessages.MOAccountNotFound,NonSimErrorTargets.PhoneNumber,
,,,,,,ClientActionContract.NoMessage,NonSimErrorCodes.RejectedByProvider,,NonSimErrorMessages.RejectedByProvider,NonSimErrorTargets.PhoneNumber,
,,,,,,ClientActionContract.NoMessage,NonSimErrorCodes.PaymentInstrumentAddAlready,,NonSimErrorMessages.PaymentInstrumentAddAlready,NonSimErrorTargets.PhoneNumber,
,,,,,,NonSimErrorMessages.Generic,,,,,
,invoice_credit,PaymentMethodType.Klarna,,,,ClientActionContract.NoMessage,KlarnaErrorCodes.PersonalNumberBadFormat,,KlarnaErrorMessages.PersonalNumberBadFormat,KlarnaErrorTargets.PersonalNumber,
,,,,,,ClientActionContract.NoMessage,KlarnaErrorCodes.InvalidPersonalNumber,,KlarnaErrorMessages.InvalidPersonalNumber,KlarnaErrorTargets.PersonalNumber,
,,,,,,ClientActionContract.NoMessage,KlarnaErrorCodes.InvalidGender,,KlarnaErrorMessages.InvalidGender,KlarnaErrorTargets.Gender,
,,,,,,ClientActionContract.NoMessage,KlarnaErrorCodes.InvalidFirstName,,KlarnaErrorMessages.InvalidFirstName,KlarnaErrorTargets.FirstName,
,,,,,,ClientActionContract.NoMessage,KlarnaErrorCodes.InvalidLastName,,KlarnaErrorMessages.InvalidLastName,KlarnaErrorTargets.LastName,
,,,,,,ClientActionContract.NoMessage,KlarnaErrorCodes.InvalidFirstAndLastNames,,KlarnaErrorMessages.InvalidFirstAndLastNames,KlarnaErrorTargets.FirstName,
,,,,,,,,,,KlarnaErrorTargets.LastName,
,,,,,,ClientActionContract.NoMessage,KlarnaErrorCodes.InvalidNameAndAddress,,KlarnaErrorMessages.InvalidNameAndAddress,KlarnaErrorTargets.AddressLine1,
,,,,,,,,,,KlarnaErrorTargets.AddressLine2,
,,,,,,,,,,KlarnaErrorTargets.City,
,,,,,,,,,,KlarnaErrorTargets.Country,
,,,,,,,,,,KlarnaErrorTargets.PostalCode,
,,,,,,,,,,KlarnaErrorTargets.FirstName,
,,,,,,,,,,KlarnaErrorTargets.LastName,
,,,,,,ClientActionContract.NoMessage,KlarnaErrorCodes.InvalidPhoneValue,,KlarnaErrorMessages.InvalidPhoneValue,KlarnaErrorTargets.Phone,
,,,,,,CreditCardErrorMessages.Generic,,,,,
,,,,,,CreditCardErrorMessages.Generic,,,,,
,virtual,PaymentMethodType.LegacyInvoice,,,,ClientActionContract.NoMessage,LegacyInvoiceErrorCodes.InvalidCity,,LegacyInvoiceErrorMessages.InvalidCity,LegacyInvoiceErrorTargets.City,
,,,,,,ClientActionContract.NoMessage,LegacyInvoiceErrorCodes.InvalidState,,LegacyInvoiceErrorMessages.InvalidState,LegacyInvoiceErrorTargets.State,
,,,,,,ClientActionContract.NoMessage,LegacyInvoiceErrorCodes.InvalidZipCode,,LegacyInvoiceErrorMessages.InvalidZipCode,LegacyInvoiceErrorTargets.PostalCode,
,,,,,,ClientActionContract.NoMessage,LegacyInvoiceErrorCodes.InvalidAddress,,LegacyInvoiceErrorMessages.InvalidAddress,LegacyInvoiceErrorTargets.AddressLine1,
,,,,,,,,,,LegacyInvoiceErrorTargets.AddressLine2,
,,,,,,,,,,LegacyInvoiceErrorTargets.City,
,,,,,,,,,,LegacyInvoiceErrorTargets.State,
,,,,,,,,,,LegacyInvoiceErrorTargets.PostalCode,
,,,,,,LegacyInvoiceErrorMessages.Generic,,,,,
,real_time_payments,PaymentMethodType.UPI,,,,ClientActionContract.NoMessage,UpiErrorCodes.InvalidUpiAccount,,UpiErrorMessages.InvalidUpiAccount,UpiErrorTargets.Account,
